URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://hl7chile.cl/fhir/ig/clcore/ValueSet/CodPais,1.9.2,active,,CodPaises,Códigos de Países,"Codigos definidos para la identificación de países segun norma ISO3166-N","StructureDefinition/PaisOrigenMPI","hl7.fhir.cl.clcore"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSTipoIdentificador,1.9.2,active,,VSTipoIdentificador,Tipo Identificador,"Tipo Identificador","StructureDefinition/MINSALPacienteBusqueda","hl7.fhir.cl.clcore"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/PueblosOriginariosVS,0.4.4,draft,,PueblosOriginariosVS,Pueblos Originarios de Chile,"Pueblos Originarios de Chile","StructureDefinition/PueblosOriginarios","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSClasesDeCobertura,0.4.4,active,,VSClasesDeCobertura,Clase de Cobertura de Salud,"Permitira definir los distintos tipos de clases requeridos para la cobertura. Los tramos de FONASA, Planes de Isapre, Otras leyes previsionales, Leyes de priorización y de reparación.","StructureDefinition/MINSALCobertura","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSComponenteDiscapacidad,0.4.4,active,,VSComponenteDiscapacidad,Componentes de Observación de Discapacidad,"Diferenciación entre los componentes de la observación de discapacidad","StructureDefinition/MINSALSituacionDiscapacidad","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSEspecialidadBioqca,0.4.4,active,,VSEspecialidadBioqca,Especialidades y Subespecialidades Bioquímicas,"Especialidades y Subespecialidades Bioquímicas","StructureDefinition/MINSALPrestadorProfesional","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSEspecialidadFarma,0.4.4,active,,VSEspecialidadFarma,Especialidades Farmaceúticas o Química Farmaceúticas,"Especialidades Farmaceúticas o Química Farmaceúticas","StructureDefinition/MINSALPrestadorProfesional","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSEspecialidadMed,0.4.4,active,,VSEspecialidadMed,Especialidades Médicas,"Especialidades Médicas","StructureDefinition/MINSALPrestadorProfesional","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSEspecialidadOdont,0.4.4,active,,VSEspecialidadOdont,Especialidades Odontológicas,"Especialidades Odontológicas","StructureDefinition/MINSALPrestadorProfesional","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSEstadoCivil,0.4.4,active,,VSEstadoCivil,Estado Civil,"Estado Civil","StructureDefinition/MINSALPacienteBusqueda,StructureDefinition/MINSALPaciente","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSGrupoMarcas,0.4.4,active,,VSGrupoMarcas,Grupo Marcas,"Diferenciación entre los posibles grupos dentro del MPI","StructureDefinition/MINSALCobertura,StructureDefinition/MINSALAgrupacionPorMarcas","Internal"
https://interoperabilidad.minsal.cl/fhir/ig/nid/ValueSet/VSIdentidadDeGenero,0.4.4,active,,VSIdentidadDeGenero,Identidad De Género,"Identidad De Género",,"Internal"
