URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-caracteristicas-margen-quirurgico-VS,0.1.1-ballot,draft,,CaracteristicasMargenQuirurgicoVS,Set de Valores de Caracteristicas del Margen Quirurgico,"Set de valores del nivel de compromiso del margen quiurgico en un reporte de biopsia",,"SCT"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-categoria-reporte-biopsia-vs,0.1.1-ballot,draft,,CategoriaReporteBiopsiaVS,Set de Valores de la Categoría Reportes de Biopsia,"Códigos de tipos de categoría de reportes de biopsias en HL7",,"THO (V2)"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-categorias-pTNM-VS,0.1.1-ballot,draft,,CategoriaspTNMVS,Set de Valores para Categorias pTNM,"Set de valores para las categorias para el TNM patológico",,"SCT"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-especialistas-autorizado-VS,0.1.1-ballot,draft,,EspecialistasAutorizadosR2BO,Especialistas Autorizados,"Estos son los especialistas autorizados para realizar informes anatomías patológicas",,"hl7.fhir.cl.minsal.nid"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-estructuras-anatomicas-VS,0.1.1-ballot,draft,,EstructuraAnatomicaVS,Set de Valores Para los Sitios del Cuerpo,"Set de valores para las distintas estructuras corporales de donde se obtienen las muestras",,"SCT"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-grado-diferenciacion-vs,0.1.1-ballot,draft,,GradoDiferenciacionVS,Set de Valores Para Grado de Diferenciación,"Grado de diferenciación tumoral según clasificación de la OMS",,"Internal"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-invasion-linfatica-VS,0.1.1-ballot,draft,,InvasionLinfaticaVascularVS,Set de Valores para Invasión Linfática, Vascular, Tumoral,"Posibles resultados de invasión linfática, vascular y tumoral en un reporte de biopsia",,"SCT"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-medida-margen-quirurgico-VS,0.1.1-ballot,draft,,MedidaMargenQuirurgicoVS,Set de Valores de la Medida de Margen Quirúrgico,"Valores aceptados para la medida del margen quirúrgico en un reporte de biopsia",,"UCUM"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-metodos-medicion-VS,0.1.1-ballot,draft,,MetodosMedicionTumorVS,Set de Valores de los Metodos de Medición del Tumor,"Set de valores utilizados para los metodos de medición de los tamaños de tumores",,"SCT"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-morfologicosct-cieo-VS,0.1.1-ballot,draft,,MorfologicoSnomedCIEOVS,Set de Valores Morfología,"Set de valores utilizados para morfologías, estos pueden ser mapeados de Snomed CT a la CIE-O 3 Morfológico o ser usado directamente en CIE-O 3 Morfológico",,"SCT,THO"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-observaciones-NeoAdyuvancia-VS,0.1.1-ballot,draft,,ObservacionNeoAdyuvanciaVS,Set de Valores de Resultados de Observación Post Neoadyuvancia,"Posibles valores para las observaciones realizadas en la evaluación post neoadyuvancia de un reporte de biopsia",,"LOINC"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-observaciones-biopsia-VS,0.1.1-ballot,draft,,ObservacionesBiopsiaVS,Set de Valores para Observaciones Biopsia,"Observaciones realizadas durante el informe de biopsia",,"SCT,LOINC"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-procedimientos-biopsias-VS,0.1.1-ballot,draft,,ProcedimientosBiopsiaVS,Set de Valores Para Procedimientos,"Set de valores utilizados para los procedimientos al momento de extraer muestras de tejido",,"SCT"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-profesional-autorizado-VS,0.1.1-ballot,draft,,ProfesionalesAutorizadosR2BO,Profesionales Autorizados,"Estos son los profesionales autorizados para realizar informes o solicitudes de anatomías patológicas",,"hl7.fhir.cl.minsal.nid"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-reporte-biopsia-vs,0.1.1-ballot,draft,,ReporteBiopsiaVS,Set de Valores de los Reportes de Biopsia,"Códigos de tipos de reportes de biopsias en Snomed y LOINC",,"SCT,LOINC"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-respuestas-infiltracion-perineural-vs,0.1.1-ballot,draft,,RespuestasInfiltracionPerineuralVS,Set de Valores Para Hallazgos de Infiltración Perineural,"Posibles hallazgos de infiltración perineural en un reporte de biopsia. Este conjunto de valores decienden del concepto: 396394004 hallazgo relacionado con invasión perineural",,"SCT"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-respuestas-infiltracion-peritumoral-vs,0.1.1-ballot,draft,,RespuestaInfiltracionPeritumoralVS,Set de Valores Para Hallazgos de Infiltración Peritumoral,"Posibles hallazgos de infiltración peritumoral en un reporte de biopsia. Este conjunto de valores decienden del concepto: 373376008 respuesta linfocítica peritumoral - hallazgo",,"SCT"
